cve_ent,estado,abandono_total,abandono_hombres,abandono_mujeres,pobreza_pct,pobreza_ext_pct,rezago_edu_pct,internet_hogares_pct,brecha_genero,brecha_internet,indice_vulnerabilidad,zona_critica,contexto
1,Aguascalientes,9.2,11.5,7.0,22.6,1.4,19.5,69.9,4.5,30.099999999999994,26.349999999999998,False,Pobreza baja (<30%)
2,Baja California,10.3,12.8,7.9,13.4,0.9,11.2,86.4,4.9,13.599999999999994,13.499999999999996,False,Pobreza baja (<30%)
3,Baja California Sur,8.9,11.1,6.8,13.3,0.8,12.4,76.1,4.3,23.900000000000006,18.6,False,Pobreza baja (<30%)
4,Campeche,11.0,13.8,8.3,43.9,7.5,24.8,65.3,5.5,34.7,39.3,False,Pobreza media (30-50%)
5,Coahuila,11.7,14.6,8.9,18.2,1.4,15.2,74.8,5.699999999999999,25.200000000000003,21.700000000000003,False,Pobreza baja (<30%)
6,Colima,8.5,10.6,6.5,26.3,1.9,18.7,72.4,4.1,27.599999999999994,26.949999999999996,False,Pobreza baja (<30%)
7,Chiapas,8.2,10.2,6.3,67.4,28.2,31.1,44.3,3.8999999999999995,55.7,61.550000000000004,True,Alta pobreza (≥50%)
8,Chihuahua,10.9,13.6,8.3,17.6,1.8,12.7,75.9,5.299999999999999,24.099999999999994,20.849999999999998,False,Pobreza baja (<30%)
9,Ciudad de México,14.7,18.3,11.2,27.4,2.5,8.1,89.5,7.100000000000001,10.5,18.95,False,Pobreza baja (<30%)
10,Durango,9.1,11.4,6.9,26.5,3.3,15.1,68.3,4.5,31.700000000000003,29.1,False,Pobreza baja (<30%)
11,Guanajuato,10.9,13.6,8.3,34.9,4.1,21.3,68.1,5.299999999999999,31.900000000000006,33.400000000000006,False,Pobreza media (30-50%)
12,Guerrero,10.0,12.5,7.6,60.4,22.2,27.4,53.9,4.9,46.1,53.25,True,Alta pobreza (≥50%)
13,Hidalgo,8.7,10.9,6.6,40.9,7.1,22.8,62.4,4.300000000000001,37.6,39.25,False,Pobreza media (30-50%)
14,Jalisco,8.3,10.4,6.3,23.8,2.4,15.6,79.3,4.1000000000000005,20.700000000000003,22.25,False,Pobreza baja (<30%)
15,Estado de México,9.4,11.8,7.1,42.7,5.5,17.4,70.2,4.700000000000001,29.799999999999997,36.25,False,Pobreza media (30-50%)
16,Michoacán,9.6,12.0,7.3,42.4,7.6,25.3,62.1,4.7,37.9,40.15,False,Pobreza media (30-50%)
17,Morelos,10.1,12.6,7.7,38.7,5.4,21.2,67.5,4.8999999999999995,32.5,35.6,False,Pobreza media (30-50%)
18,Nayarit,11.5,14.4,8.7,26.9,3.4,18.4,66.2,5.700000000000001,33.8,30.349999999999998,False,Pobreza baja (<30%)
19,Nuevo León,7.2,9.0,5.5,16.0,1.1,11.4,83.6,3.5,16.400000000000006,16.200000000000003,False,Pobreza baja (<30%)
20,Oaxaca,9.3,11.6,7.1,58.4,20.2,29.1,53.0,4.5,47.0,52.7,True,Alta pobreza (≥50%)
21,Puebla,9.5,11.9,7.2,54.0,11.4,26.7,60.4,4.7,39.6,46.8,False,Alta pobreza (≥50%)
22,Querétaro,10.7,13.4,8.1,25.6,2.8,16.1,74.7,5.300000000000001,25.299999999999997,25.45,False,Pobreza baja (<30%)
23,Quintana Roo,9.8,12.3,7.4,29.9,3.7,16.9,83.6,4.9,16.400000000000006,23.150000000000002,False,Pobreza baja (<30%)
24,San Luis Potosí,12.1,15.1,9.2,36.3,6.1,22.4,65.8,5.9,34.2,35.25,False,Pobreza media (30-50%)
25,Sinaloa,8.4,10.5,6.4,24.3,2.7,16.8,72.3,4.1,27.700000000000003,26.0,False,Pobreza baja (<30%)
26,Sonora,9.0,11.3,6.8,22.4,2.2,13.9,80.7,4.500000000000001,19.299999999999997,20.849999999999998,False,Pobreza baja (<30%)
27,Tabasco,9.1,11.4,6.9,50.6,11.6,25.5,65.1,4.5,34.900000000000006,42.75,False,Alta pobreza (≥50%)
28,Tamaulipas,8.8,11.0,6.7,26.7,2.9,16.4,73.8,4.3,26.200000000000003,26.450000000000003,False,Pobreza baja (<30%)
29,Tlaxcala,8.9,11.1,6.8,52.5,6.7,23.1,64.9,4.3,35.099999999999994,43.8,False,Alta pobreza (≥50%)
30,Veracruz,9.7,12.1,7.4,49.5,10.8,27.6,58.6,4.699999999999999,41.4,45.45,False,Pobreza media (30-50%)
31,Yucatán,9.1,11.4,6.9,37.2,6.3,20.8,65.4,4.5,34.599999999999994,35.9,False,Pobreza media (30-50%)
32,Zacatecas,9.8,12.3,7.4,35.1,6.8,20.5,63.7,4.9,36.3,35.7,False,Pobreza media (30-50%)
